product,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,price,lead-time,backlog,quantity_on_hand
728,40.0,22.0,65.0,73.0,50.0,63.0,124.0,82.0,4.0,60.0,95.0,58.0,1.0,2.0,0.0,67.0,216.0,165.0,26.540358333333337,9,9,1705
2178,19.0,19.0,73.0,26.0,26.0,39.0,21.0,20.0,14.0,27.0,26.0,18.0,21.0,32.0,34.0,24.0,109.0,42.0,36.51230555555556,9,7,2850
2593,275.0,112.0,303.0,185.0,264.0,254.0,263.0,240.0,206.0,225.0,181.0,193.0,213.0,1153.0,1250.0,212.0,204.0,145.0,8.927484615384614,5,7,2980
2607,287.0,253.0,294.0,195.0,223.0,344.0,240.0,268.0,194.0,140.0,271.0,212.0,220.0,160.0,260.0,203.0,206.0,239.0,10.89687914862915,6,7,3353
2615,23.0,48.0,49.0,36.0,46.0,14.0,45.0,27.0,24.0,57.0,42.0,42.0,61.0,48.0,31.0,15.0,11.0,3.0,14.63,4,5,604
2631,10.0,10.0,6.0,14.0,13.0,15.0,11.0,8.0,16.0,8.0,5.0,5.0,8.0,6.0,10.0,21.0,8.0,17.0,75.91,5,2,2496
2691,113.0,100.0,92.0,93.0,160.0,143.0,144.0,163.0,108.0,135.0,65.0,17.0,173.0,73.0,8.0,1.0,0.0,0.0,17.27,10,8,3455
4626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.0,5234.0,37.0,5547.0,13.23,3,5,1363
4944,11.0,1.0,10.0,9.0,8.0,5.0,8.0,8.0,12.0,8.0,5.0,11.0,2.0,7.0,34.0,4.0,16.0,8.0,32.934285714285714,5,9,1195
5193,9.0,22.0,11.0,20.0,39.0,15.0,40.0,23.0,44.0,28.0,13.0,26.0,39.0,19.0,19.0,42.0,27.0,101.0,12.873785714285713,5,3,388
